"File path","Category","Purpose","Importance","Risk level","Evidence notes","Recommended action"
"README.md","Documentation","Operator guide and full solution readiness notes","High","Medium","Updated guide, env/deploy checklist","Keep aligned with production runbooks"
"package.json","Config","Scripts and dependencies","Critical","Medium","check/test/build/readiness scripts","Add CI to run all gates"
"server/_core/env.ts","Security/Runtime","Production env validation","Critical","Low","Fails missing/weak production env","Keep required env list current"
"server/_core/session.ts","Auth","Session JWT signing/verification","Critical","Medium","Rejects weak/missing production JWT secret","Rotate secrets periodically"
"server/_core/trpc.ts","Authz","Protected/permission/admin/editor procedures","Critical","Medium","Server-side RBAC enforcement","Add object-level authorization docs"
"shared/permissions.ts","Authz","Role-permission matrix","Critical","Medium","super_admin/admin/editor/viewer permissions","Review quarterly"
"server/routers/pulse.ts","Backend","Pulse domain APIs and submission links","Critical","Medium","Public token APIs + admin/editor procedures","Add OpenAPI-like docs"
"server/db.ts","Data layer","DB and in-memory fallback data functions","Critical","Medium","Approved-only dashboard filtering, token hashing","Run staging DB migration smoke"
"drizzle/schema.ts","Database","MySQL schema","Critical","Medium","Users/reports/Pulse/audit/submission tables","Add retention annotations"
"client/src/pages/Preview.tsx","Frontend/export","PDF/PNG report export UI","High","Medium","Local export and optional storage fallback","Split heavy export libs"
"server/production-hardening.test.ts","QA/Security","Production readiness tests","High","Low","94-test suite includes hardening tests","Add CI gate"
